ID,State,City,Locality,Property_Type,BHK,Size_in_SqFt,Price_in_Lakhs,Price_per_SqFt,Year_Built,Furnished_Status,Floor_No,Total_Floors,Age_of_Property,Nearby_Schools,Nearby_Hospitals,Public_Transport_Accessibility,Parking_Space,Security,Amenities,Facing,Owner_Type,Availability_Status
200001,Uttar Pradesh,Noida,Locality_275,Independent House,1,4611,279.59,0.06,2019,Unfurnished,9,25,6,4,4,Low,No,Yes,"Gym, Playground, Garden, Pool",East,Broker,Ready_to_Move
200002,Madhya Pradesh,Bhopal,Locality_192,Villa,5,4511,61.79,0.01,2015,Unfurnished,11,7,10,6,3,High,No,Yes,"Garden, Playground, Pool, Clubhouse, Gym",East,Builder,Under_Construction
200003,Uttarakhand,Haridwar,Locality_8,Villa,1,4767,29.69,0.01,2005,Unfurnished,15,4,20,1,9,Medium,No,Yes,Clubhouse,West,Broker,Ready_to_Move
200004,West Bengal,Kolkata,Locality_380,Independent House,1,1217,364.17,0.3,2003,Semi-furnished,26,25,22,4,7,High,No,No,"Gym, Pool, Clubhouse",North,Builder,Under_Construction
200005,Bihar,Patna,Locality_200,Villa,3,2841,288.96,0.1,2003,Furnished,13,29,22,6,2,Medium,No,Yes,"Pool, Garden",South,Owner,Ready_to_Move
200006,Bihar,Gaya,Locality_189,Villa,5,1318,121.58,0.09,2011,Furnished,12,6,14,3,1,Medium,No,No,"Garden, Gym, Pool, Clubhouse, Playground",East,Builder,Ready_to_Move
200007,Odisha,Cuttack,Locality_344,Independent House,5,1959,409.63,0.21,2004,Furnished,20,14,21,3,4,Medium,Yes,No,"Gym, Clubhouse, Garden, Playground, Pool",North,Owner,Under_Construction
200008,Rajasthan,Jodhpur,Locality_404,Apartment,4,1373,229.93,0.17,2013,Unfurnished,2,2,12,10,5,Low,Yes,Yes,"Clubhouse, Pool, Playground, Gym",North,Owner,Under_Construction
200009,Tamil Nadu,Chennai,Locality_195,Independent House,4,635,437.45,0.69,2018,Unfurnished,14,24,7,4,8,Medium,Yes,Yes,"Gym, Garden, Pool, Clubhouse, Playground",South,Builder,Under_Construction
200010,Bihar,Patna,Locality_134,Apartment,2,4398,468.08,0.11,2011,Semi-furnished,28,30,14,5,3,High,No,Yes,"Playground, Pool, Gym",East,Owner,Ready_to_Move
200011,Bihar,Gaya,Locality_183,Independent House,5,2669,234.6,0.09,1992,Unfurnished,9,2,33,6,6,Medium,No,No,"Pool, Playground, Gym, Garden, Clubhouse",South,Broker,Under_Construction
200012,Assam,Guwahati,Locality_342,Apartment,2,2204,98.67,0.04,2005,Unfurnished,1,9,20,1,8,High,Yes,Yes,Playground,South,Broker,Ready_to_Move
200013,Madhya Pradesh,Bhopal,Locality_243,Independent House,1,2657,257.06,0.1,2008,Unfurnished,7,25,17,5,10,Medium,Yes,Yes,"Gym, Garden, Playground, Clubhouse, Pool",South,Owner,Ready_to_Move
200014,Uttarakhand,Haridwar,Locality_128,Apartment,4,2142,86.98,0.04,1993,Furnished,5,7,32,10,7,Medium,No,No,"Garden, Pool",East,Builder,Under_Construction
200015,Bihar,Patna,Locality_19,Villa,3,4916,223.15,0.05,2020,Furnished,12,22,5,7,1,Medium,No,No,"Pool, Gym, Playground, Garden, Clubhouse",East,Builder,Ready_to_Move
200016,Telangana,Warangal,Locality_116,Apartment,3,2741,296.39,0.11,2019,Unfurnished,3,19,6,2,8,Medium,Yes,Yes,"Gym, Garden, Playground, Pool",East,Owner,Under_Construction
